일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자,합계 발생,살인 발생,강도 발생,강간.강제추행 발생,절도 발생,폭력 발생
08-Jan,-1.7,1.9,7.3,2008-01-06,-5.0,-11.1,2008-01-17,"""7663""","""19""","""49""","""191""","""1870""","""5534"""
08-Feb,-1.2,3.2,10.5,2008-02-22,-4.9,-10.1,2008-02-13,"""6503""","""9""","""43""","""184""","""1733""","""4534"""
08-Mar,7.3,11.9,19.8,2008-03-21,3.7,-1.7,2008-03-05,"""8418""","""14""","""78""","""262""","""2374""","""5690"""
08-Apr,14.1,19.5,28.0,2008-04-19,9.3,3.8,2008-04-04,"""8990""","""19""","""102""","""276""","""2513""","""6080"""
08-May,17.7,22.7,28.5,2008-05-29,13.1,8.1,2008-05-14,"""9232""","""23""","""79""","""297""","""2406""","""6427"""
08-Jun,21.5,26.1,29.6,2008-06-20,17.6,13.7,2008-06-05,"""10329""","""19""","""95""","""364""","""2893""","""6958"""
08-Jul,25.1,28.4,32.9,2008-07-09,22.6,20.2,2008-07-01,"""9804""","""15""","""90""","""331""","""2577""","""6791"""
08-Aug,25.3,29.5,35.4,2008-08-08,21.8,16.3,2008-08-22,"""8754""","""19""","""69""","""327""","""2316""","""6023"""
08-Sep,22.0,26.9,32.0,2008-09-17,18.0,10.3,2008-09-27,"""10134""","""22""","""90""","""342""","""2701""","""6979"""
08-Oct,16.1,21.0,28.3,2008-10-18,12.1,5.6,2008-10-28,"""9950""","""18""","""92""","""313""","""2620""","""6907"""
08-Nov,7.6,11.7,18.4,2008-11-06,3.8,-7.2,2008-11-19,"""8607""","""19""","""73""","""257""","""2387""","""5871"""
08-Dec,1.1,5.0,13.3,2008-12-10,-2.7,-13.1,2008-12-06,"""9387""","""25""","""88""","""277""","""2504""","""6493"""
09-Jan,-2.0,2.3,12.2,2009-01-30,-5.5,-11.4,2009-01-24,"""7307""","""18""","""93""","""214""","""1901""","""5081"""
09-Feb,2.9,6.8,16.1,2009-02-13,-0.6,-8.6,2009-02-17,"""7271""","""11""","""66""","""205""","""1870""","""5119"""
09-Mar,6.0,10.6,22.2,2009-03-21,1.8,-3.3,2009-03-14,"""9863""","""18""","""121""","""279""","""2913""","""6532"""
09-Apr,12.7,18.0,25.8,2009-04-19,8.1,2.2,2009-04-01,"""9618""","""16""","""128""","""281""","""2662""","""6531"""
09-May,19.1,24.3,31.0,2009-05-28,14.6,9.8,2009-05-05,"""11473""","""29""","""288""","""340""","""3767""","""7049"""
09-Jun,22.4,26.7,32.4,2009-06-27,18.8,14.3,2009-06-01,"""11386""","""25""","""127""","""378""","""3397""","""7459"""
09-Jul,24.3,28.2,32.4,2009-07-16,21.0,18.7,2009-07-10,"""11525""","""20""","""150""","""363""","""4122""","""6870"""
09-Aug,25.7,29.5,34.4,2009-08-16,22.4,16.4,2009-08-31,"""9377""","""34""","""104""","""371""","""3324""","""5544"""
09-Sep,21.8,26.3,29.9,2009-09-06,17.7,14.4,2009-09-22,"""11016""","""21""","""132""","""351""","""4395""","""6117"""
09-Oct,16.0,20.9,26.4,2009-10-01,11.7,6.2,2009-10-20,"""9577""","""22""","""129""","""342""","""3458""","""5626"""
09-Nov,6.9,10.4,21.8,2009-11-09,3.7,-4.3,2009-11-18,"""9007""","""20""","""97""","""306""","""2973""","""5611"""
09-Dec,-1.0,2.5,10.1,2009-12-01,-4.2,-12.9,2009-12-31,"""8332""","""16""","""75""","""328""","""2385""","""5528"""
10-Jan,-4.5,-0.7,8.4,2010-01-20,-8.1,-15.3,2010-01-13,"""6843""","""12""","""53""","""222""","""1773""","""4783"""
10-Feb,1.4,4.9,17.9,2010-02-24,-1.7,-10.8,2010-02-03,"""6861""","""15""","""79""","""249""","""2218""","""4300"""
10-Mar,4.3,8.1,14.2,2010-03-30,0.5,-4.0,2010-03-10,"""9258""","""28""","""68""","""395""","""3252""","""5515"""
10-Apr,9.5,14.0,20.7,2010-04-20,5.6,1.1,2010-04-03,"""9721""","""24""","""104""","""399""","""3720""","""5474"""
10-May,17.2,22.0,28.6,2010-05-21,13.0,5.8,2010-05-01,"""11565""","""25""","""102""","""471""","""4950""","""6017"""
10-Jun,23.4,28.2,32.7,2010-06-10,19.3,12.1,2010-06-01,"""11378""","""29""","""85""","""449""","""4744""","""6071"""
10-Jul,25.8,29.3,32.3,2010-07-20,23.1,21.0,2010-07-12,"""11168""","""30""","""93""","""443""","""4693""","""5909"""
10-Aug,26.5,30.0,33.8,2010-08-05,23.8,19.9,2010-08-25,"""11955""","""23""","""78""","""510""","""5014""","""6330"""
10-Sep,21.8,26.0,31.4,2010-09-01,18.5,8.4,2010-09-30,"""11354""","""27""","""97""","""496""","""4574""","""6160"""
10-Oct,14.5,19.3,24.2,2010-10-09,10.4,0.7,2010-10-27,"""11518""","""29""","""106""","""450""","""4830""","""6103"""
10-Nov,6.5,11.3,17.4,2010-11-13,2.5,-5.2,2010-11-28,"""11259""","""26""","""84""","""403""","""4728""","""6018"""
10-Dec,-1.3,3.1,13.5,2010-12-02,-5.1,-15.1,2010-12-24,"""11567""","""26""","""80""","""452""","""4891""","""6118"""
11-Jan,-7.2,-3.4,0.3,2011-01-14,-10.5,-17.8,2011-01-16,"""9514""","""22""","""75""","""325""","""3816""","""5276"""
11-Feb,1.2,5.9,13.2,2011-02-26,-2.5,-9.2,2011-02-12,"""9779""","""16""","""93""","""355""","""4426""","""4889"""
11-Mar,3.6,8.3,16.8,2011-03-31,-0.1,-5.5,2011-03-03,"""14296""","""28""","""113""","""500""","""7441""","""6214"""
11-Apr,10.7,15.6,19.0,2011-04-15,6.8,4.3,2011-04-01,"""9905""","""16""","""77""","""381""","""4052""","""5379"""
11-May,17.9,23.0,31.2,2011-05-29,13.6,8.5,2011-05-02,"""11068""","""29""","""65""","""494""","""4306""","""6174"""
11-Jun,22.0,26.6,32.9,2011-06-19,18.4,14.4,2011-06-03,"""11042""","""27""","""61""","""507""","""4317""","""6130"""
11-Jul,24.6,28.0,34.1,2011-07-18,22.0,18.9,2011-07-04,"""12628""","""17""","""101""","""569""","""4609""","""7332"""
11-Aug,25.8,29.5,34.1,2011-08-05,23.0,18.1,2011-08-23,"""12071""","""25""","""101""","""528""","""4687""","""6730"""
11-Sep,21.8,26.6,32.4,2011-09-02,17.7,10.3,2011-09-30,"""10858""","""21""","""68""","""437""","""4297""","""6035"""
11-Oct,14.2,19.3,23.4,2011-10-13,9.7,3.1,2011-10-26,"""10930""","""16""","""68""","""423""","""4336""","""6087"""
11-Nov,10.7,14.7,25.9,2011-11-05,7.2,-5.5,2011-11-24,"""10667""","""22""","""47""","""400""","""4121""","""6077"""
11-Dec,-0.9,2.9,9.1,2011-12-03,-4.1,-10.6,2011-12-17,"""10181""","""19""","""87""","""333""","""4004""","""5738"""
12-Jan,-2.8,1.3,8.4,2012-01-19,-6.3,-12.2,2012-01-23,"""9299""","""15""","""43""","""279""","""3727""","""5235"""
12-Feb,-2.0,3.0,12.1,2012-02-22,-6.0,-17.1,2012-02-02,"""8382""","""15""","""46""","""297""","""3341""","""4683"""
12-Mar,5.1,9.5,16.2,2012-03-29,1.5,-5.7,2012-03-12,"""9621""","""11""","""44""","""309""","""3839""","""5418"""
12-Apr,12.3,17.9,29.4,2012-04-30,7.8,0.6,2012-04-07,"""10911""","""19""","""59""","""380""","""4601""","""5852"""
12-May,19.7,25.1,29.3,2012-05-22,15.4,12.0,2012-05-18,"""12357""","""16""","""56""","""467""","""5392""","""6426"""
12-Jun,24.1,29.7,33.5,2012-06-19,20.0,16.3,2012-06-01,"""12370""","""15""","""36""","""479""","""5494""","""6346"""
12-Jul,25.4,29.0,33.2,2012-07-29,22.4,18.5,2012-07-07,"""13730""","""22""","""50""","""595""","""6288""","""6775"""
12-Aug,27.1,30.9,36.7,2012-08-05,23.9,18.7,2012-08-31,"""13371""","""17""","""74""","""480""","""6287""","""6513"""
12-Sep,21.0,25.0,29.5,2012-09-02,17.4,12.0,2012-09-30,"""11847""","""10""","""43""","""480""","""5328""","""5986"""
