지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Jan-73,0.4,4.2,11.3,1973-01-22,-2.5,-11.3,1973-01-03
108,서울,Feb-73,0.6,5.2,14.4,1973-02-16,-3.2,-9.4,1973-02-25
108,서울,Mar-73,4.5,10,20.8,1973-03-30,0.4,-5.3,1973-03-02
108,서울,Apr-73,12.4,17.6,27.7,1973-04-30,8,0.9,1973-04-05
108,서울,May-73,17.4,22.9,27.8,1973-05-14,12.8,9.5,1973-05-10
108,서울,Jun-73,21.4,26.1,30.8,1973-06-10,17.8,12.9,1973-06-03
108,서울,Jul-73,26.8,31.2,34.5,1973-07-18,23.6,19.7,1973-07-02
108,서울,Aug-73,25.9,29.8,35.2,1973-08-16,23,21.2,1973-08-31
108,서울,Sep-73,20.3,25,28.6,1973-09-07,16.5,8.3,1973-09-27
108,서울,Oct-73,13,18.1,24.9,1973-10-11,8.7,2.2,1973-10-26
108,서울,Nov-73,4.7,9.3,16.9,1973-11-01,0.8,-7.1,1973-11-20
108,서울,Dec-73,-3,1.7,10.8,1973-12-02,-7,-17.4,1973-12-24
108,서울,Jan-74,-2.4,2.5,9.3,1974-01-02,-6.3,-15.5,1974-01-24
108,서울,Feb-74,-2.1,1.9,9.9,1974-02-18,-5.5,-14,1974-02-26
108,서울,Mar-74,3.7,8.9,19.5,1974-03-30,-0.1,-8,1974-03-12
108,서울,Apr-74,10.7,15.8,23.1,1974-04-06,6.2,0.8,1974-04-02
108,서울,May-74,16.7,22.1,29.3,1974-05-17,12.1,7,1974-05-01
108,서울,Jun-74,19.7,25.1,31.1,1974-06-26,15.5,9.7,1974-06-05
108,서울,Jul-74,23.5,27.2,30.7,1974-07-22,20.9,18.2,1974-07-01
108,서울,Aug-74,25.1,29.4,33.9,1974-08-19,21.8,15.7,1974-08-25
108,서울,Sep-74,20.6,25.8,29.9,1974-09-01,16.5,11.2,1974-09-19
108,서울,Oct-74,12.6,17.9,23.2,1974-10-06,7.8,0,1974-10-31
108,서울,Nov-74,5.4,10.5,20.3,1974-11-06,1.3,-4.8,1974-11-13
108,서울,Dec-74,-0.5,3.7,10.3,1974-12-01,-4.1,-10.2,1974-12-04
